Discipline,Specialty,Year,OutDiscRef,OutDiscCit
Biology,Botany,1997,0.36,0.31
Biology,Botany,1998,0.37,0.32
Biology,Botany,1999,0.37,0.31
Biology,Botany,2000,0.37,0.32
Biology,Botany,2001,0.37,0.32
Biology,Botany,2002,0.38,0.34
Biology,Botany,2003,0.39,0.34
Biology,Botany,2004,0.4,0.35
Biology,Botany,2005,0.39,0.35
Biology,Botany,2006,0.39,0.35
Biology,Botany,2007,0.4,0.35
Biology,Botany,2008,0.41,0.37
Biology,Botany,2009,0.4,0.36
Biology,Botany,2010,0.4,0.37
Biology,Botany,2011,0.4,0.37
Biology,Botany,2012,0.41,0.38
Biology,Botany,2013,0.41,0.35
Biology,Botany,2014,0.42,0.34
Biology,Dairy & Animal Science,1950,0.58,0.31
Biology,Dairy & Animal Science,1951,0.54,0.33
Biology,Dairy & Animal Science,1952,0.49,0.35
Biology,Dairy & Animal Science,1953,0.5,0.38
Biology,Dairy & Animal Science,1954,0.52,0.33
Biology,Dairy & Animal Science,1955,0.48,0.31
Biology,Dairy & Animal Science,1956,0.5,0.36
Biology,Dairy & Animal Science,1957,0.48,0.31
Biology,Dairy & Animal Science,1958,0.49,0.32
Biology,Dairy & Animal Science,1959,0.44,0.3
Biology,Dairy & Animal Science,1960,0.47,0.28
Biology,Dairy & Animal Science,1961,0.46,0.3
Biology,Dairy & Animal Science,1962,0.43,0.27
Biology,Dairy & Animal Science,1963,0.45,0.32
Biology,Dairy & Animal Science,1964,0.46,0.28
Biology,Dairy & Animal Science,1965,0.47,0.31
Biology,Dairy & Animal Science,1966,0.45,0.29
Biology,Dairy & Animal Science,1967,0.46,0.3
Biology,Dairy & Animal Science,1968,0.44,0.29
Biology,Dairy & Animal Science,1969,0.48,0.29
Biology,Dairy & Animal Science,1970,0.47,0.31
Biology,Dairy & Animal Science,1971,0.47,0.3
Biology,Dairy & Animal Science,1972,0.48,0.33
Biology,Dairy & Animal Science,1973,0.45,0.33
Biology,Dairy & Animal Science,1974,0.45,0.32
Biology,Dairy & Animal Science,1975,0.44,0.33
Biology,Dairy & Animal Science,1976,0.44,0.31
Biology,Dairy & Animal Science,1977,0.43,0.31
Biology,Dairy & Animal Science,1978,0.43,0.3
Biology,Dairy & Animal Science,1979,0.47,0.32
Biology,Dairy & Animal Science,1980,0.43,0.32
Biology,Dairy & Animal Science,1981,0.43,0.32
Biology,Dairy & Animal Science,1982,0.42,0.31
Biology,Dairy & Animal Science,1983,0.42,0.32
Biology,Dairy & Animal Science,1984,0.43,0.34
Biology,Dairy & Animal Science,1985,0.42,0.33
Biology,Dairy & Animal Science,1986,0.43,0.33
Biology,Dairy & Animal Science,1987,0.44,0.35
Biology,Dairy & Animal Science,1988,0.42,0.34
Biology,Dairy & Animal Science,1989,0.44,0.34
Biology,Dairy & Animal Science,1990,0.42,0.35
Biology,Dairy & Animal Science,1991,0.42,0.34
Biology,Dairy & Animal Science,1992,0.42,0.36
Biology,Dairy & Animal Science,1993,0.45,0.37
Biology,Dairy & Animal Science,1994,0.43,0.37
Biology,Dairy & Animal Science,1995,0.44,0.38
Biology,Dairy & Animal Science,1996,0.46,0.37
Biology,Dairy & Animal Science,1997,0.43,0.38
Biology,Dairy & Animal Science,1998,0.45,0.4
Biology,Dairy & Animal Science,1999,0.43,0.38
Biology,Dairy & Animal Science,2000,0.46,0.4
Biology,Dairy & Animal Science,2001,0.44,0.39
Biology,Dairy & Animal Science,2002,0.43,0.39
Biology,Dairy & Animal Science,2003,0.44,0.39
Biology,Dairy & Animal Science,2004,0.44,0.4
Biology,Dairy & Animal Science,2005,0.46,0.41
Biology,Dairy & Animal Science,2006,0.47,0.42
Biology,Dairy & Animal Science,2007,0.47,0.42
Biology,Dairy & Animal Science,2008,0.46,0.41
Biology,Dairy & Animal Science,2009,0.47,0.4
Biology,Dairy & Animal Science,2010,0.48,0.41
Biology,Dairy & Animal Science,2011,0.47,0.4
Biology,Dairy & Animal Science,2012,0.5,0.4
Biology,Dairy & Animal Science,2013,0.48,0.39
Biology,Dairy & Animal Science,2014,0.49,0.36
Biology,Ecology,1950,0.38,0.23
Biology,Ecology,1951,0.37,0.25
Biology,Ecology,1952,0.36,0.28
Biology,Ecology,1953,0.31,0.29
